0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:30:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:31:42 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 17094
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:31:42 +0900] "GET /ctc/resources/image/logo.png HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:31:42 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:31:42 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:31:42 +0900] "GET /ctc/resources/image/footer.png HTTP/1.1" 200 29210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:31:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:10 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 17199
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:10 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:10 +0900] "GET /ctc/resources/image/logo.png HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:10 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:10 +0900] "GET /ctc/resources/image/footer.png HTTP/1.1" 200 29210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:29 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 17268
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:29 +0900] "GET /ctc/resources/image/logo.png HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:29 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:29 +0900] "GET /ctc/resources/image/footer.png HTTP/1.1" 200 29210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:29 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:32:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:34:19 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 17274
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:34:19 +0900] "GET /ctc/resources/image/logo.png HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:34:19 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:34:19 +0900] "GET /ctc/resources/image/footer.png HTTP/1.1" 200 29210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:34:19 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:34:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
